setting,model,accuracy,macro_f1
no_smote,LightGBM,0.8478479557375871,0.8707987666025833
no_smote,XGBoost,0.8167349285047065,0.8425467400520776
no_smote,TabNet,0.6723072501257454,0.7122574422055461
no_smote,FTTransformer,0.658439318818711,0.6948497736705737
no_smote,TabTransformer,0.6323201839476899,0.667033217023296
smote,LightGBM,0.8427103542430121,0.8662413477635773
smote,XGBoost,0.8098728174175469,0.8355867565338566
smote,TabNet,0.6721994682762089,0.7092957459662033
smote,FTTransformer,0.6522598261119494,0.6857651640606997
smote,TabTransformer,0.6225120356398649,0.6579070786392079
